Date,AAPL,ABT,ADBE,AMAT,AMD,AMGN,AMZN,ASML,AVGO,BAC,BLK,BRK-B,COST,CRM,DIS,ENPH,FSLR,GE,GOOGL,GS,HD,IBM,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NEE,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PLTR,SAP,SNOW,TMO,TSLA,TSM,UNH,V,WFC,WMT
2024-04-01,168.6542205810547,108.374267578125,502.0899963378906,205.36819458007812,183.33999633789062,268.1576843261719,180.97000122070312,977.4263916015625,132.6006317138672,36.012569427490234,796.1779174804688,420.20001220703125,714.378662109375,299.0216369628906,119.120849609375,118.29000091552734,171.8699951171875,138.24697875976562,154.32398986816406,398.45928955078125,352.5891418457031,180.22088623046875,190.58596801757812,57.65171813964844,751.3387451171875,473.6767578125,268.8751525878906,488.45928955078125,123.66923522949219,88.64478302001953,419.1063232421875,60.27031326293945,89.2280502319336,153.6739959716797,90.3169174194336,123.21881103515625,139.7100067138672,162.40182495117188,24.727123260498047,153.61050415039062,22.860000610351562,191.86575317382812,160.52000427246094,574.2311401367188,175.22000122070312,138.2191162109375,472.4176940917969,274.73272705078125,55.318660736083984,58.927223205566406
2024-04-02,167.47381591796875,108.30659484863281,499.2099914550781,202.82925415039062,178.6999969482422,261.68682861328125,180.69000244140625,951.5966186523438,131.47129821777344,35.80141067504883,786.3745727539062,418.9200134277344,704.5331420898438,300.7430114746094,120.38528442382812,113.55000305175781,167.1699981689453,134.80726623535156,153.4009246826172,395.2215576171875,347.77020263671875,179.3189697265625,190.5093231201172,57.148170471191406,754.7073974609375,474.69659423828125,266.4955139160156,494.4438781738281,123.06501007080078,87.86760711669922,416.0165710449219,59.79484176635742,87.67601776123047,151.39999389648438,89.40638732910156,122.09935760498047,136.6999969482422,160.95599365234375,24.575477600097656,153.6009521484375,22.719999313354492,188.038818359375,156.19000244140625,568.3740234375,166.6300048828125,136.9784698486328,441.9714660644531,274.89068603515625,55.06900405883789,58.10224533081055
2024-04-03,168.2772674560547,107.59112548828125,497.010009765625,204.0790557861328,180.77000427246094,259.990966796875,182.41000366210938,964.944580078125,133.87237548828125,35.93578338623047,784.6508178710938,420.239990234375,698.9765014648438,301.4750671386719,116.62139892578125,118.5999984741211,166.72999572753906,143.8457794189453,153.75823974609375,398.9314270019531,344.80023193359375,181.23672485351562,189.97283935546875,56.84414291381836,766.5916748046875,472.7064514160156,264.3846130371094,503.7587585449219,122.64014434814453,88.14246368408203,415.03936767578125,59.48102951049805,87.0783462524414,151.83200073242188,88.91864013671875,123.96511840820312,134.77000427246094,159.30361938476562,24.281108856201172,149.3727569580078,22.700000762939453,189.13502502441406,153.02000427246094,572.789306640625,168.3800048828125,138.71734619140625,443.5150146484375,273.4295349121094,54.85775375366211,58.36741256713867
2024-04-04,167.45401000976562,106.45990753173828,487.1099853515625,200.15257263183594,165.8300018310547,253.99375915527344,180.0,938.5045166015625,129.3834991455078,35.43667984008789,762.7811279296875,415.32000732421875,698.1743774414062,290.9886474609375,114.76886749267578,120.77999877929688,171.4600067138672,145.59425354003906,149.40115356445312,391.4635009765625,342.67340087890625,178.42654418945312,188.52745056152344,56.3405876159668,758.7775268554688,465.1319274902344,259.15521240234375,507.9141845703125,120.52535247802734,87.46006774902344,412.50244140625,60.60313415527344,85.86368560791016,151.50999450683594,85.8611831665039,121.95205688476562,132.60000610351562,159.27545166015625,23.772647857666016,148.70315551757812,22.479999542236328,186.9719696044922,151.33999633789062,567.4293823242188,171.11000061035156,136.43142700195312,439.30889892578125,270.5072937011719,54.42565155029297,58.43616485595703
2024-04-05,168.20782470703125,107.5137710571289,485.1199951171875,204.54156494140625,170.4199981689453,255.75601196289062,185.07000732421875,964.2359008789062,131.53709411621094,35.61904525756836,768.0487060546875,418.6199951171875,706.93017578125,298.6753845214844,116.03328704833984,112.2699966430664,174.60000610351562,154.3956756591797,151.35638427734375,393.2172546386719,342.8554382324219,179.56582641601562,190.26190185546875,56.54011154174805,774.7122192382812,472.4391174316406,255.89288330078125,524.2376098632812,120.83689880371094,87.6401596069336,420.0440673828125,61.03105545043945,85.64196014404297,156.6999969482422,87.96312713623047,122.64927673339844,134.5050048828125,158.79664611816406,23.78156852722168,149.32496643066406,22.959999084472656,187.7451934814453,153.86000061035156,576.22998046875,164.89999389648438,138.09214782714844,439.6561584472656,273.6072692871094,55.11701583862305,58.7799072265625
2024-04-08,167.0869903564453,106.8563232421875,484.2799987792969,205.712646484375,169.89999389648438,255.04541015625,185.19000244140625,967.3464965820312,131.21006774902344,35.99337387084961,773.595458984375,415.9700012207031,705.0384521484375,298.4973449707031,115.02371215820312,115.23999786376953,179.22000122070312,154.6129913330078,153.68878173828125,395.59735107421875,346.86004638671875,180.21142578125,191.25440979003906,56.31209182739258,767.8759155273438,474.779052734375,256.7276916503906,516.1951904296875,119.48682403564453,88.34149169921875,419.1260986328125,61.67769241333008,86.76022338867188,157.1199951171875,87.08856964111328,122.10916137695312,134.2899932861328,159.20973205566406,23.710206985473633,149.26751708984375,23.0,187.55923461914062,154.86000061035156,575.5736083984375,172.97999572753906,139.4890594482422,439.9070129394531,274.2193298339844,55.49150848388672,58.711158752441406
2024-04-09,168.297119140625,108.71267700195312,492.54998779296875,207.06082153320312,170.77999877929688,256.1443786621094,185.6699981689453,974.3551635742188,131.01170349121094,36.214134216308594,774.154052734375,414.69000244140625,711.75390625,299.1304626464844,115.63142395019531,121.9800033569336,184.6999969482422,152.60775756835938,155.42564392089844,395.7611389160156,346.2565002441406,179.72718811035156,189.97283935546875,56.739627838134766,748.0686645507812,468.1458740234375,258.5315856933594,513.8590087890625,119.6284408569336,89.16606140136719,420.7942810058594,62.17216873168945,87.72420501708984,156.44400024414062,85.31046295166016,121.3998794555664,139.56500244140625,160.1767578125,23.888614654541016,149.86062622070312,22.809999465942383,183.89866638183594,155.5800018310547,585.9157104492188,176.8800048828125,142.03872680664062,443.49566650390625,273.1925964355469,55.28985595703125,58.720977783203125
2024-04-10,166.4224090576172,107.48477172851562,487.2200012207031,205.91928100585938,167.13999938964844,252.44000244140625,185.9499969482422,959.373046875,129.86172485351562,35.177528381347656,754.6533203125,409.1099853515625,715.7059326171875,296.40997314453125,114.86688995361328,119.5999984741211,185.2899932861328,154.701904296875,154.96908569335938,386.17333984375,335.8521423339844,176.62271118164062,188.35398864746094,55.97955322265625,752.7513427734375,465.1813049316406,257.79278564453125,516.7717895507812,119.66620635986328,86.86297607421875,417.81317138671875,60.86940002441406,85.79622650146484,153.83799743652344,86.99462127685547,119.94184875488281,140.5,158.61827087402344,23.47827911376953,150.4154510498047,22.420000076293945,180.30662536621094,152.97000122070312,570.5120849609375,171.75999450683594,142.8397979736328,434.1669616699219,270.9811706542969,54.67531204223633,59.5361328125
2024-04-11,173.6236572265625,107.75550079345703,484.2799987792969,209.58990478515625,170.5,255.8032684326172,189.0500030517578,976.6683959960938,135.76280212402344,34.88957977294922,756.8779296875,407.6099853515625,725.3829345703125,295.9449768066406,114.82768249511719,121.69999694824219,184.44000244140625,155.75885009765625,158.21458435058594,383.0127258300781,332.7959899902344,176.48980712890625,188.31544494628906,56.103065490722656,750.3903198242188,464.3286437988281,257.74481201171875,520.0821533203125,119.09973907470703,82.30421447753906,422.4230651855469,60.802825927734375,88.68821716308594,154.26800537109375,90.56978607177734,121.40972137451172,141.92999267578125,158.0643310546875,23.49612045288086,149.0762176513672,22.84000015258789,181.72581481933594,159.35000610351562,571.3673095703125,174.60000610351562,143.797119140625,426.1309509277344,272.1658630371094,54.43524932861328,59.01561737060547
2024-04-12,175.12144470214844,106.01624298095703,474.0899963378906,204.55140686035156,163.27999877929688,253.22630310058594,186.1300048828125,946.8027954101562,131.99276733398438,34.352073669433594,735.152587890625,403.260009765625,724.3528442382812,291.166748046875,111.74992370605469,117.0199966430664,182.47999572753906,153.0177459716797,156.5471649169922,375.3134765625,328.4847412109375,173.04356384277344,176.1356201171875,55.371490478515625,742.53662109375,461.423583984375,256.5646057128906,508.88836669921875,118.712646484375,81.68816375732422,416.4707336425781,59.98502731323242,88.68821716308594,153.74200439453125,88.14103698730469,119.31136322021484,139.53500366210938,157.82025146484375,23.067943572998047,148.58837890625,22.670000076293945,176.939697265625,158.55999755859375,562.0792236328125,171.0500030517578,139.22532653808594,423.6999206542969,272.4422912597656,54.22400665283203,59.06471633911133
