ticker
AAPL
MSFT
GOOGL
AMZN
META
NVDA
AVGO
ORCL
IBM
SAP
JPM
BAC
WFC
MS
GS
BLK
V
MA
BRK-B
KO
PG
PEP
WMT
COST
HD
MCD
DIS
NKE
GE
UNH
LLY
PFE
MRK
ABT
TMO
AMGN
ADBE
CRM
NOW
SNOW
AMD
TSM
ASML
AMAT
TSLA
FSLR
ENPH
NEE
PLTR
PANW
