Date,portfolio_value
2024-07-01,0.99828
2024-07-02,1.011755676545008
2024-07-03,1.0326393507525484
2024-07-05,1.0403964443258147
2024-07-08,1.0459621999754287
2024-07-09,1.0579850982613228
2024-07-10,1.070421912437913
2024-07-11,1.03682830305485
2024-07-12,1.052270622506471
2024-07-15,1.0572891089808523
2024-07-16,1.055244384117752
2024-07-17,1.0179648611987517
2024-07-18,1.0035747529340688
2024-07-19,0.9967642923358768
2024-07-22,1.0174273936270135
2024-07-23,1.0162217896967145
2024-07-24,0.9675382196404014
2024-07-25,0.955186072085267
2024-07-26,0.9588018085195025
2024-07-29,0.9610761918876717
2024-07-30,0.9356865093930803
2024-07-31,0.9770547885595646
2024-08-01,0.9548549384102166
2024-08-02,0.9325096326905914
2024-08-05,0.8911657466401263
2024-08-06,0.9055864879169189
2024-08-07,0.888617513040121
2024-08-08,0.9321438078301574
2024-08-09,0.9511033088773603
2024-08-12,0.9570508560357138
2024-08-13,0.9882372923224656
2024-08-14,0.9953117907854421
2024-08-15,1.0197408325634234
2024-08-16,1.0190362919453508
2024-08-19,1.037733567128025
2024-08-20,1.046453757123732
2024-08-21,1.0486373964622238
2024-08-22,1.0254498289263436
2024-08-23,1.0459144992917253
2024-08-26,1.0356363420410186
2024-08-27,1.0406729682817841
2024-08-28,1.0288653933885878
2024-08-29,1.0207788120628682
2024-08-30,1.036002339911155
2024-09-03,1.0018836646325648
2024-09-04,0.9988143882460903
2024-09-05,0.9995343635999916
2024-09-06,0.9714183371911325
2024-09-09,0.9865704636543299
2024-09-10,0.9961817603530717
2024-09-11,1.024866520404524
2024-09-12,1.0348532237461412
2024-09-13,1.0224377067331063
2024-09-16,1.0078908560241415
2024-09-17,1.0000605927847082
2024-09-18,0.9951349733169993
2024-09-19,1.02782899621506
2024-09-20,1.0235468627670392
2024-09-23,1.0328242820529216
2024-09-24,1.043917741769581
2024-09-25,1.046308047779595
2024-09-26,1.0442215332423248
2024-09-27,1.0353078329660539
2024-09-30,1.0444494122173735
2024-10-01,1.0174665320286822
2024-10-02,1.0190873690010267
2024-10-03,1.0250411065629816
2024-10-04,1.037645851295298
2024-10-07,1.0142750064157078
2024-10-08,1.0370827387750354
2024-10-09,1.0535970766046354
2024-10-10,1.049788940488244
2024-10-11,1.0456060871427144
2024-10-14,1.050223189447252
2024-10-15,1.045386481090487
2024-10-16,1.047808343827031
2024-10-17,1.0462979428808494
2024-10-18,1.0521082260366783
2024-10-21,1.0464485260945078
2024-10-22,1.051696718573397
2024-10-23,1.0519902134237555
2024-10-24,1.0664787554569315
2024-10-25,1.068186100740963
2024-10-28,1.068439715062443
2024-10-29,1.0557719662141556
2024-10-30,1.0455401990100452
2024-10-31,1.0272897137527395
2024-11-01,1.0279738123617508
2024-11-04,1.0250232872598963
2024-11-05,1.0835786103521579
2024-11-06,1.1199810018573306
2024-11-07,1.1321678232393704
2024-11-08,1.1640594366467716
2024-11-11,1.1757947399228428
2024-11-12,1.1646076124788334
2024-11-13,1.1699120411210118
2024-11-14,1.1541249910684737
2024-11-15,1.179235460880568
2024-11-18,1.173260514619073
2024-11-19,1.196548916421653
2024-11-20,1.198001447041982
2024-11-21,1.2059044517659911
2024-11-22,1.2249686046178603
2024-11-25,1.217649628794608
2024-11-26,1.2339081622410237
2024-11-27,1.22706784333213
2024-11-29,1.2403526287197877
2024-12-02,1.2324877006809491
2024-12-03,1.2504401856332648
2024-12-04,1.2591933530294794
2024-12-05,1.2720723013004942
2024-12-06,1.301282826244087
2024-12-09,1.2749071716031488
2024-12-10,1.2567978967285087
2024-12-11,1.27011983921523
2024-12-12,1.2623814780730642
2024-12-13,1.2760413252200455
2024-12-16,1.276772565759401
2024-12-17,1.2735743144029255
2024-12-18,1.2311888315593134
2024-12-19,1.2436843457102893
2024-12-20,1.2656965980070405
2024-12-23,1.264844128174775
2024-12-24,1.291526488035096
2024-12-26,1.2877759590140394
2024-12-27,1.2629228681311815
2024-12-30,1.244178609851308
2024-12-31,1.233974972364757
2025-01-02,1.2224744771296328
2025-01-03,1.2650894381557967
2025-01-06,1.2599741018854589
2025-01-07,1.2147571613316201
2025-01-08,1.2116113614482347
2025-01-10,1.2005241950077696
2025-01-13,1.1930689230977036
2025-01-14,1.1932135725350657
2025-01-15,1.2309532475178864
2025-01-16,1.229415290603519
2025-01-17,1.2596859386177521
2025-01-21,1.2744435167391948
2025-01-22,1.2893839015813942
2025-01-23,1.2975377783241373
2025-01-24,1.2993507631546206
2025-01-27,1.2469040440484709
2025-01-28,1.2764273915716733
2025-01-29,1.2629309119645833
2025-01-30,1.263339161372179
2025-01-31,1.276688401577856
2025-02-03,1.267372828016991
2025-02-04,1.3404762746700627
2025-02-05,1.344759751945491
2025-02-06,1.3677962788721618
2025-02-07,1.3413885172937043
2025-02-10,1.367241078072809
2025-02-11,1.336084342426836
2025-02-12,1.352309492272135
2025-02-13,1.3743717189557287
2025-02-14,1.3705060798409312
2025-02-18,1.379024820840264
2025-02-19,1.3540609101201553
2025-02-20,1.3099026929120474
2025-02-21,1.2616717241361743
2025-02-24,1.2110348617663595
2025-02-25,1.1854731484833707
2025-02-26,1.1934057399082894
2025-02-27,1.1541489126888405
2025-02-28,1.172429528817058
2025-03-03,1.1400067505844826
2025-03-04,1.1249011375153875
2025-03-05,1.1559394283164455
2025-03-06,1.0874447001987062
2025-03-07,1.1074338337649334
2025-03-10,1.012539481031347
2025-03-11,1.0358188280393705
2025-03-12,1.0739278091287192
2025-03-13,1.0446426762158345
2025-03-14,1.085100093102634
2025-03-17,1.081696564223338
2025-03-18,1.047388521214446
2025-03-19,1.075650321106047
2025-03-20,1.0686631226181176
2025-03-21,1.091815295071712
2025-03-24,1.141079889057719
2025-03-25,1.140650368547991
2025-03-26,1.1023381014393117
2025-03-27,1.087044858608419
2025-03-28,1.0564847290989114
2025-03-31,1.0532638151613025
2025-04-01,1.0674687560700864
2025-04-02,1.0749095562033646
2025-04-03,1.0631336828312306
2025-04-04,0.9889973515373871
2025-04-07,0.9924269356033416
2025-04-08,0.9873572589724067
2025-04-09,1.058720767974021
2025-04-10,1.0430142704866059
2025-04-11,1.0565787092367682
2025-04-14,1.0758813035846009
2025-04-15,1.0860525091288589
2025-04-16,1.0721058599715296
2025-04-17,1.0811227256880946
2025-04-21,1.063696964080105
2025-04-22,1.0879465907400232
2025-04-23,1.1065755633266812
2025-04-24,1.1122571371398402
2025-04-25,1.1218247879793177
2025-04-28,1.1296473550457173
2025-04-29,1.1403770276054588
2025-04-30,1.1476381051443558
2025-05-01,1.1359003869028614
2025-05-02,1.165540067603042
2025-05-05,1.1549870249691065
2025-05-06,1.1275004956686836
2025-05-07,1.1396654159736879
2025-05-08,1.1514606097471913
2025-05-09,1.1430084098739486
2025-05-12,1.142771664968836
2025-05-13,1.1556877416352314
2025-05-14,1.1547859740257036
2025-05-15,1.17629476719614
2025-05-16,1.1868244442752316
2025-05-19,1.1828179465329562
2025-05-20,1.1774313442761684
2025-05-21,1.15966173893371
2025-05-22,1.1550011902084754
2025-05-23,1.1577612618861985
2025-05-27,1.1673506829289735
2025-05-28,1.1594741160182622
2025-05-29,1.1599709427512752
2025-05-30,1.1814569076094177
2025-06-02,1.1839581999636555
2025-06-03,1.1820575236722684
2025-06-04,1.1732261534772555
2025-06-05,1.1545079416584954
2025-06-06,1.1739427994498204
2025-06-09,1.183529459136102
2025-06-10,1.1890606544874844
2025-06-11,1.1976207331749282
2025-06-12,1.1992005776305195
2025-06-13,1.1931416195578972
2025-06-16,1.1993803707583122
2025-06-17,1.1845992209887222
2025-06-18,1.185122473080332
2025-06-20,1.1785036911414286
2025-06-23,1.193228621005889
2025-06-24,1.2159110079916537
2025-06-25,1.2056049329979892
2025-06-26,1.2010054382268218
2025-06-27,1.1834323501027277
2025-06-30,1.20139272458955
2025-07-01,1.1936033304093439
2025-07-02,1.20645727226796
2025-07-03,1.2287955260567465
2025-07-07,1.2356047616728738
2025-07-08,1.2319375869216802
2025-07-09,1.2406638410928523
2025-07-10,1.2331538088801688
2025-07-11,1.2221026721951682
2025-07-14,1.2408040183409392
2025-07-15,1.2450459892457095
2025-07-16,1.2559729249931368
2025-07-17,1.265924891484999
2025-07-18,1.2717388270114867
2025-07-21,1.2650419347451045
2025-07-22,1.2445446187757525
2025-07-23,1.2640121106584836
2025-07-24,1.252249354695178
2025-07-25,1.267991054002255
2025-07-28,1.2712584229535961
2025-07-29,1.2719032660164284
2025-07-30,1.2781975957282419
2025-07-31,1.2729780222434635
2025-08-01,1.2335204150441157
2025-08-04,1.2647958329585882
2025-08-05,1.2801130959313343
2025-08-06,1.2986597958173935
2025-08-07,1.288658335885659
2025-08-08,1.2774200095770498
2025-08-11,1.2676456208571356
2025-08-12,1.2820120389176393
2025-08-13,1.2722137021027766
2025-08-14,1.2644709511496137
2025-08-15,1.2653151997736978
2025-08-18,1.260784366997717
2025-08-19,1.2142805947646198
2025-08-20,1.2150116207364592
2025-08-21,1.2102929194524854
2025-08-22,1.225761745568196
2025-08-25,1.2172166882582263
2025-08-26,1.2306250118318571
2025-08-27,1.2343469449862219
2025-08-28,1.2842913594571608
2025-08-29,1.2598962759111327
2025-09-02,1.2515048134889182
2025-09-03,1.2460384822807398
2025-09-04,1.251026755191974
2025-09-05,1.2634953039682615
2025-09-08,1.283627299498585
2025-09-09,1.301380630835049
2025-09-10,1.4099796313544102
2025-09-11,1.386984982582849
2025-09-12,1.3770760174968122
2025-09-15,1.3982525449214955
2025-09-16,1.3954402531322143
2025-09-17,1.3884266294726524
2025-09-18,1.414372955413778
2025-09-19,1.4466271237799193
2025-09-22,1.463578743039665
2025-09-23,1.4537828729328244
2025-09-24,1.4329817056710814
2025-09-25,1.428357536194003
2025-09-26,1.4238332677681034
2025-09-29,1.41981503931155
2025-09-30,1.4298660808286912
2025-10-01,1.4484739767869266
2025-10-02,1.4464693208342663
2025-10-03,1.419585255022924
2025-10-06,1.4566971697996907
2025-10-07,1.4340680159495658
2025-10-08,1.4443658928595218
2025-10-09,1.445692263922752
2025-10-10,1.392136206618868
2025-10-13,1.4430732733225835
2025-10-14,1.4372178089859542
2025-10-15,1.4616563116702288
2025-10-16,1.4612846647764528
2025-10-17,1.4510561623646878
2025-10-20,1.456389187610207
2025-10-21,1.4436123090693276
2025-10-22,1.4229539746668987
2025-10-23,1.4524659718269073
2025-10-24,1.465848668661976
2025-10-27,1.5015222921273883
2025-10-28,1.500359632138588
2025-10-29,1.5253649270118232
2025-10-30,1.4967552796738621
2025-10-31,1.5236311470413306
2025-11-03,1.540087290957313
2025-11-04,1.4771695650508323
2025-11-05,1.4957219370031463
2025-11-06,1.4577130953916255
2025-11-07,1.4421509806261827
2025-11-10,1.4974951863066877
2025-11-11,1.4813704683109077
2025-11-12,1.4545976244261916
2025-11-13,1.3942708651551154
2025-11-14,1.400492679870101
2025-11-17,1.4025459416632264
2025-11-18,1.3866012202169344
2025-11-19,1.4060446801563768
2025-11-20,1.3529860004167171
2025-11-21,1.343990406258983
2025-11-24,1.3998212677493391
2025-11-25,1.405308521649376
2025-11-26,1.428902244015119
2025-11-28,1.4360653733605009
2025-12-01,1.4234429453193642
2025-12-02,1.4336597820331272
2025-12-03,1.4646595047354574
2025-12-04,1.4743607800957408
2025-12-05,1.4832592513181604
2025-12-08,1.4783818950999044
2025-12-09,1.4838725869536085
2025-12-10,1.505827046755507
2025-12-11,1.4745367421320987
2025-12-12,1.4533183545160173
2025-12-15,1.453218107175204
2025-12-16,1.4674641723197874
2025-12-17,1.4046430985497762
2025-12-18,1.4440152375602338
2025-12-19,1.4821453338860933
2025-12-22,1.5060355652076782
2025-12-23,1.5048471127144931
2025-12-24,1.5095389808267539
2025-12-26,1.4976383059770422
2025-12-29,1.4771038420473797
